date,value
2022-01-03T00:00:00+00:00,10000.0
2022-01-04T00:00:00+00:00,10000.0
2022-01-05T00:00:00+00:00,10000.0
2022-01-06T00:00:00+00:00,10000.0
2022-01-07T00:00:00+00:00,10000.0
2022-01-10T00:00:00+00:00,10000.0
2022-01-11T00:00:00+00:00,10000.0
2022-01-12T00:00:00+00:00,10000.0
2022-01-13T00:00:00+00:00,10000.0
2022-01-14T00:00:00+00:00,10000.0
2022-01-17T00:00:00+00:00,10000.0
2022-01-18T00:00:00+00:00,10000.0
2022-01-19T00:00:00+00:00,10000.0
2022-01-20T00:00:00+00:00,10000.0
2022-01-21T00:00:00+00:00,10000.0
2022-01-24T00:00:00+00:00,10000.0
2022-01-25T00:00:00+00:00,10000.0
2022-01-26T00:00:00+00:00,10000.0
2022-01-27T00:00:00+00:00,10000.0
2022-01-28T00:00:00+00:00,10000.0
2022-01-31T00:00:00+00:00,10000.0
2022-02-01T00:00:00+00:00,10000.0
2022-02-02T00:00:00+00:00,10000.0
2022-02-03T00:00:00+00:00,10000.0
2022-02-04T00:00:00+00:00,10000.0
2022-02-07T00:00:00+00:00,10000.0
2022-02-08T00:00:00+00:00,10000.0
2022-02-09T00:00:00+00:00,10000.0
2022-02-10T00:00:00+00:00,10000.0
2022-02-11T00:00:00+00:00,10000.0
2022-02-14T00:00:00+00:00,10000.0
2022-02-15T00:00:00+00:00,10000.0
2022-02-16T00:00:00+00:00,10000.0
2022-02-17T00:00:00+00:00,10000.0
2022-02-18T00:00:00+00:00,10000.0
2022-02-21T00:00:00+00:00,10000.0
2022-02-22T00:00:00+00:00,10000.0
2022-02-23T00:00:00+00:00,10000.0
2022-02-24T00:00:00+00:00,10000.0
2022-02-25T00:00:00+00:00,10000.0
2022-02-28T00:00:00+00:00,10000.0
2022-03-01T00:00:00+00:00,10000.0
2022-03-02T00:00:00+00:00,10000.0
2022-03-03T00:00:00+00:00,10000.0
2022-03-04T00:00:00+00:00,10000.0
2022-03-07T00:00:00+00:00,10000.0
2022-03-08T00:00:00+00:00,10000.0
2022-03-09T00:00:00+00:00,10000.0
2022-03-10T00:00:00+00:00,10000.0
2022-03-11T00:00:00+00:00,10000.0
2022-03-14T00:00:00+00:00,10000.0
2022-03-15T00:00:00+00:00,10000.0
2022-03-16T00:00:00+00:00,10000.0
2022-03-17T00:00:00+00:00,10000.0
2022-03-18T00:00:00+00:00,10000.0
2022-03-21T00:00:00+00:00,10000.0
2022-03-22T00:00:00+00:00,10000.0
2022-03-23T00:00:00+00:00,10000.0
2022-03-24T00:00:00+00:00,10000.0
2022-03-25T00:00:00+00:00,10000.0
2022-03-28T00:00:00+00:00,10000.0
2022-03-29T00:00:00+00:00,10000.0
2022-03-30T00:00:00+00:00,10000.0
2022-03-31T00:00:00+00:00,10000.0
2022-04-01T00:00:00+00:00,10000.0
2022-04-04T00:00:00+00:00,10000.0
2022-04-05T00:00:00+00:00,10000.0
2022-04-06T00:00:00+00:00,10000.0
2022-04-07T00:00:00+00:00,10000.0
2022-04-08T00:00:00+00:00,10000.0
2022-04-11T00:00:00+00:00,10000.0
2022-04-12T00:00:00+00:00,10000.0
2022-04-13T00:00:00+00:00,10000.0
2022-04-14T00:00:00+00:00,10000.0
2022-04-15T00:00:00+00:00,10000.0
2022-04-18T00:00:00+00:00,10000.0
2022-04-19T00:00:00+00:00,10000.0
2022-04-20T00:00:00+00:00,10000.0
2022-04-21T00:00:00+00:00,10000.0
2022-04-22T00:00:00+00:00,10000.0
2022-04-25T00:00:00+00:00,10000.0
2022-04-26T00:00:00+00:00,10000.0
2022-04-27T00:00:00+00:00,10000.0
2022-04-28T00:00:00+00:00,10000.0
2022-04-29T00:00:00+00:00,10000.0
2022-05-02T00:00:00+00:00,10000.0
2022-05-03T00:00:00+00:00,10000.0
2022-05-04T00:00:00+00:00,10000.0
2022-05-05T00:00:00+00:00,10000.0
2022-05-06T00:00:00+00:00,10000.0
2022-05-09T00:00:00+00:00,10000.0
2022-05-10T00:00:00+00:00,10000.0
2022-05-11T00:00:00+00:00,10000.0
2022-05-12T00:00:00+00:00,10000.0
2022-05-13T00:00:00+00:00,10000.0
2022-05-16T00:00:00+00:00,10000.0
2022-05-17T00:00:00+00:00,10000.0
2022-05-18T00:00:00+00:00,10000.0
2022-05-19T00:00:00+00:00,10000.0
2022-05-20T00:00:00+00:00,10000.0
2022-05-23T00:00:00+00:00,10000.0
2022-05-24T00:00:00+00:00,10000.0
2022-05-25T00:00:00+00:00,10000.0
2022-05-26T00:00:00+00:00,10000.0
2022-05-27T00:00:00+00:00,10000.0
2022-05-30T00:00:00+00:00,10000.0
2022-05-31T00:00:00+00:00,10000.0
2022-06-01T00:00:00+00:00,10000.0
2022-06-02T00:00:00+00:00,10000.0
2022-06-03T00:00:00+00:00,10000.0
2022-06-06T00:00:00+00:00,10000.0
2022-06-07T00:00:00+00:00,10000.0
2022-06-08T00:00:00+00:00,10000.0
2022-06-09T00:00:00+00:00,10000.0
2022-06-10T00:00:00+00:00,10000.0
2022-06-13T00:00:00+00:00,10000.0
2022-06-14T00:00:00+00:00,10000.0
2022-06-15T00:00:00+00:00,10000.0
2022-06-16T00:00:00+00:00,10000.0
2022-06-17T00:00:00+00:00,10000.0
2022-06-20T00:00:00+00:00,10000.0
2022-06-21T00:00:00+00:00,10000.0
2022-06-22T00:00:00+00:00,10000.0
2022-06-23T00:00:00+00:00,10000.0
2022-06-24T00:00:00+00:00,10002.105032877254
2022-06-27T00:00:00+00:00,10003.132476966339
2022-06-28T00:00:00+00:00,10007.383928188146
2022-06-29T00:00:00+00:00,10003.92538576442
2022-06-30T00:00:00+00:00,10002.081063718293
2022-07-01T00:00:00+00:00,9999.430696701771
2022-07-04T00:00:00+00:00,9998.323007348377
2022-07-05T00:00:00+00:00,9994.445367903152
